"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Fam","withFam","Age_cat"
1,"0","3","male",22,1,0,7.25,1,"1","Adulte"
2,"1","1","female",38,1,0,71.2833,1,"1","Adulte"
3,"1","3","female",26,0,0,7.925,0,"0","Adulte"
4,"1","1","female",35,1,0,53.1,1,"1","Adulte"
5,"0","3","male",35,0,0,8.05,0,"0","Adulte"
6,"0","3","male",NA,0,0,8.4583,0,"0",NA
7,"0","1","male",54,0,0,51.8625,0,"0","Adulte"
8,"0","3","male",2,3,1,21.075,4,"1","Enfant"
9,"1","3","female",27,0,2,11.1333,2,"1","Adulte"
10,"1","2","female",14,1,0,30.0708,1,"1","Adolescent"
11,"1","3","female",4,1,1,16.7,2,"1","Enfant"
12,"1","1","female",58,0,0,26.55,0,"0","Adulte"
13,"0","3","male",20,0,0,8.05,0,"0","Adulte"
14,"0","3","male",39,1,5,31.275,6,"1","Adulte"
15,"0","3","female",14,0,0,7.8542,0,"0","Adolescent"
16,"1","2","female",55,0,0,16,0,"0","Adulte"
17,"0","3","male",2,4,1,29.125,5,"1","Enfant"
18,"1","2","male",NA,0,0,13,0,"0",NA
19,"0","3","female",31,1,0,18,1,"1","Adulte"
20,"1","3","female",NA,0,0,7.225,0,"0",NA
21,"0","2","male",35,0,0,26,0,"0","Adulte"
22,"1","2","male",34,0,0,13,0,"0","Adulte"
23,"1","3","female",15,0,0,8.0292,0,"0","Adolescent"
24,"1","1","male",28,0,0,35.5,0,"0","Adulte"
25,"0","3","female",8,3,1,21.075,4,"1","Enfant"
26,"1","3","female",38,1,5,31.3875,6,"1","Adulte"
27,"0","3","male",NA,0,0,7.225,0,"0",NA
28,"0","1","male",19,3,2,263,5,"1","Adulte"
29,"1","3","female",NA,0,0,7.8792,0,"0",NA
30,"0","3","male",NA,0,0,7.8958,0,"0",NA
31,"0","1","male",40,0,0,27.7208,0,"0","Adulte"
32,"1","1","female",NA,1,0,146.5208,1,"1",NA
33,"1","3","female",NA,0,0,7.75,0,"0",NA
34,"0","2","male",66,0,0,10.5,0,"0","Senior"
35,"0","1","male",28,1,0,82.1708,1,"1","Adulte"
36,"0","1","male",42,1,0,52,1,"1","Adulte"
37,"1","3","male",NA,0,0,7.2292,0,"0",NA
38,"0","3","male",21,0,0,8.05,0,"0","Adulte"
39,"0","3","female",18,2,0,18,2,"1","Adulte"
40,"1","3","female",14,1,0,11.2417,1,"1","Adolescent"
41,"0","3","female",40,1,0,9.475,1,"1","Adulte"
